arm_id,seed,graph_edge_count,status,best_val_L_task_free_tail,final_val_L_task,best_epoch,checkpoint_present_at_review
A0,50,48,complete,0.2909020185470581,0.2942381501197815,352,True
A0,53,48,complete,0.321758508682251,0.321758508682251,359,True
A0,55,48,complete,0.36263757944107056,0.3655628561973572,347,True
A0,51,48,complete,0.26833972334861755,0.2700440585613251,353,True
A0,52,48,complete,0.28398364782333374,0.29302722215652466,349,True
A0,54,48,complete,0.2875481843948364,0.2896195352077484,347,True
A0,57,48,complete,0.29055988788604736,0.29198503494262695,358,True
A0,59,48,complete,0.2754307687282562,0.2807406783103943,326,True
A0,61,48,complete,0.3944776952266693,0.3963462710380554,349,True
A0,56,48,complete,0.2924376130104065,0.2936854362487793,329,True
A0,58,48,complete,0.3227706551551819,0.3279828131198883,345,True
A0,60,48,complete,0.32873445749282837,0.3370358943939209,358,True
A0,62,48,complete,0.29894328117370605,0.3088914752006531,356,True
A0,63,48,complete,0.32374292612075806,0.3330220580101013,354,True
A0,68,48,complete,0.26833540201187134,0.27103471755981445,356,True
A0,65,48,complete,0.30480775237083435,0.31535810232162476,350,True
A0,66,48,complete,0.3945278525352478,0.3946719169616699,358,True
A0,69,48,complete,0.3243609368801117,0.3243609368801117,359,True
A0,70,48,complete,0.30680984258651733,0.3236066997051239,351,True
A0,71,48,complete,0.29158538579940796,0.29470592737197876,358,True
A0,64,48,complete,0.30052173137664795,0.30115872621536255,358,True
A0,67,48,complete,0.2974562346935272,0.301317423582077,358,True
A0,73,48,complete,0.303801953792572,0.3075808882713318,357,True
A0,72,48,complete,0.30210408568382263,0.3038521409034729,358,True
A1,51,48,complete,0.25672733783721924,0.2606300711631775,469,True
A1,52,48,complete,0.26011133193969727,0.2722055912017822,477,True
A1,55,48,complete,0.33656638860702515,0.33798331022262573,476,True
A1,56,48,complete,0.2717042565345764,0.27229905128479004,477,True
A1,57,48,complete,0.26839032769203186,0.27456435561180115,478,True
A1,54,48,complete,0.2570321261882782,0.2633775472640991,474,True
A1,60,48,complete,0.3006274104118347,0.30643564462661743,477,True
A1,50,48,complete,0.26628684997558594,0.2677520513534546,476,True
A1,53,48,complete,0.2929743528366089,0.2954087257385254,477,True
A1,61,48,complete,0.3737199008464813,0.3803187310695648,468,True
A1,58,48,complete,0.3030552566051483,0.3030552566051483,479,True
A1,59,48,complete,0.258830189704895,0.2589285969734192,470,True
A1,62,48,complete,0.27801212668418884,0.2810337543487549,468,True
A1,66,48,complete,0.3748321235179901,0.3843422830104828,478,True
A1,63,48,complete,0.2850884199142456,0.28574860095977783,473,True
A1,65,48,complete,0.2796933948993683,0.2847321629524231,464,True
A1,64,48,complete,0.2701764404773712,0.278728187084198,476,True
A1,71,48,complete,0.269717276096344,0.269717276096344,479,True
A1,68,48,complete,0.24972203373908997,0.25058791041374207,462,True
A1,67,48,complete,0.27441808581352234,0.27724379301071167,470,True
A1,73,48,complete,0.2770695388317108,0.28891807794570923,476,True
A1,70,48,complete,0.2972691059112549,0.30561572313308716,469,True
A1,69,48,complete,0.2859499156475067,0.28742143511772156,471,True
A1,72,48,complete,0.28901323676109314,0.2924559712409973,474,True
A3,50,48,complete,0.26552897691726685,0.2665531635284424,477,True
A3,51,48,complete,0.26194190979003906,0.27101966738700867,462,True
A3,53,48,complete,0.28491050004959106,0.29003363847732544,475,True
A3,52,48,complete,0.2570289373397827,0.2610167860984802,474,True
A3,54,48,complete,0.2662162184715271,0.27146145701408386,475,True
A3,56,48,complete,0.26146018505096436,0.26645922660827637,462,True
A3,57,48,complete,0.254057914018631,0.27183783054351807,474,True
A3,55,48,complete,0.29607146978378296,0.3010534942150116,472,True
A3,61,48,complete,0.29573217034339905,0.3194750249385834,473,True
A3,58,48,complete,0.3125985562801361,0.3202160596847534,472,True
A3,59,48,complete,0.2595144808292389,0.26762786507606506,454,True
A3,60,48,complete,0.28523504734039307,0.29097816348075867,474,True
A3,62,48,complete,0.26843446493148804,0.27106162905693054,477,True
A3,63,48,complete,0.2719653844833374,0.27367639541625977,473,True
A3,64,48,complete,0.2687959671020508,0.2732692062854767,476,True
A3,66,48,complete,0.3035278022289276,0.3044416606426239,466,True
A3,65,48,complete,0.28232240676879883,0.28232240676879883,479,True
A3,67,48,complete,0.2628050744533539,0.27488479018211365,467,True
A3,68,48,complete,0.24260303378105164,0.2473645806312561,462,True
A3,69,48,complete,0.27393609285354614,0.2798554599285126,473,True
A3,71,48,complete,0.26434648036956787,0.26434648036956787,479,True
A3,70,48,complete,0.29606112837791443,0.30313464999198914,476,True
A3,72,48,complete,0.28519949316978455,0.29395902156829834,460,True
A3,73,48,complete,0.2686128318309784,0.29451462626457214,472,True
A3_LONG,50,48,complete,0.25631818175315857,0.26158106327056885,597,True
A3_LONG,51,48,complete,0.24542221426963806,0.24953530728816986,593,True
A3_LONG,52,48,complete,0.2460755705833435,0.2469838261604309,593,True
A3_LONG,53,48,complete,0.2754548192024231,0.2830243706703186,595,True
A3_LONG,55,48,complete,0.34549304842948914,0.3465699851512909,591,True
A3_LONG,54,48,complete,0.2477235645055771,0.25366902351379395,594,True
A3_LONG,56,48,complete,0.24639420211315155,0.2529148459434509,581,True
A3_LONG,57,48,complete,0.2454332411289215,0.2503182888031006,593,True
A3_LONG,60,48,complete,0.2717968225479126,0.27212023735046387,589,True
A3_LONG,58,48,complete,0.26860302686691284,0.26860302686691284,599,True
A3_LONG,59,48,complete,0.2336207926273346,0.2440008521080017,593,True
A3_LONG,61,48,complete,0.289723664522171,0.30466052889823914,583,True
